S11,S12,S13,S21,S22,S23,S31,S32,S33,S44,S55,S66,BV/TV,m1,m2,m3
19505.006637992366,9715.105594389339,11617.969608801897,9715.105594389332,19974.10760059317,11793.178244195275,11617.969608801897,11793.178244195278,28496.22433470811,12086.040121117432,11899.85830650499,9990.922519929218,0.9285,0.8708,0.88084,1.24836
16078.886339753351,7617.892581402858,9449.12459378042,7617.892581402862,16828.852742568793,9730.746019538223,9449.124593780418,9730.746019538228,25814.490808058777,11035.6334206826,10774.771426508178,8856.353234090599,0.8805,0.85367,0.89455,1.25178
16022.108448222283,7536.545118769498,9392.48501307029,7536.545118769495,16388.365759423836,9539.088767557194,9392.485013070289,9539.088767557201,25700.84905010938,10870.767257935724,10731.270538658833,8790.144540686862,0.8778,0.83196,0.87684,1.2912
15028.012338364882,6897.993093626545,8584.034098539869,6897.993093626545,15326.94400049215,8687.113347132323,8584.034098539885,8687.113347132325,23835.467939344617,10331.559127095696,10206.032401531716,8368.697809938516,0.8501,0.8429,0.86196,1.29514
15230.07346767471,7179.748211947587,8927.107036285608,7179.748211947593,16272.032371587347,9324.64744164801,8927.107036285612,9324.647441648005,25216.179072453426,10841.239542512189,10511.769500830402,8603.292406533172,0.8734,0.8169,0.89624,1.28686
18300.233019987005,9080.442505943722,11079.15272175988,9080.442505943724,19231.06493540941,11422.197446439084,11079.152721759867,11422.197446439082,28711.20206592433,12021.076735865992,11693.389146116182,9694.805121963576,0.9313,0.7985,0.93762,1.26388
16888.421640146225,8393.098978424507,10186.726798009147,8393.098978424505,18769.71705549339,10904.760200632929,10186.726798009158,10904.760200632923,27731.27442193984,11866.245513129366,11235.281685745711,9328.6188513717,0.9215,0.76491,0.95031,1.28478
18534.348446516036,8999.787955884183,11122.760085132753,8999.787955884187,18863.89739617577,11226.854399363046,11122.760085132742,11226.85439936305,28592.74795516547,11917.325502979094,11772.424109562833,9644.915864431758,0.932,0.77691,0.95448,1.26861
18684.88964190811,9149.029758042443,11249.933091462914,9149.029758042443,19159.77930414216,11410.751431147113,11249.933091462914,11410.751431147124,28743.39529871273,11975.663296147535,11824.917730232593,9701.309587554786,0.9324,0.81124,0.93956,1.24919
17362.420823409877,8490.70244405721,10382.298456697712,8490.702444057217,18388.46633268444,10762.944243345553,10382.298456697714,10762.944243345555,27513.173285905108,11693.883243913406,11315.061102262745,9373.355523243994,0.9149,0.85469,0.89975,1.24556
18636.370231633486,9210.835177654159,11240.885852676107,9210.835177654162,19283.140456993086,11469.674640087362,11240.885852676105,11469.674640087365,28717.929350243914,11995.244748376836,11805.253673458119,9744.420037624817,0.9314,0.81401,0.91528,1.27071
17988.365673923596,8751.939558921506,10741.166538597945,8751.939558921507,18451.416246842167,10895.508001824888,10741.166538597945,10895.508001824895,27820.329409494276,11698.84616192974,11509.596601619252,9514.018684285615,0.9196,0.82049,0.89756,1.28195
18534.721282794464,9100.654201390476,11142.820339578557,9100.654201390478,19045.30342287387,11318.947661717626,11142.820339578566,11318.947661717624,28480.378160993856,11925.065166660655,11735.539521008486,9677.723002757097,0.9286,0.83135,0.89396,1.27469
16034.796009841377,7817.431161186458,9584.22706352669,7817.431161186459,17509.03712988433,10180.422359893544,9584.227063526685,10180.422359893546,26447.430964073992,11284.122736029687,10790.405576940644,8899.396438759884,0.8826,0.82334,0.92081,1.25586
16638.475557504717,8011.673076275232,9905.825197774648,8011.673076275229,17451.895542972958,10229.519960902844,9905.825197774646,10229.519960902837,26738.810591795926,11284.179931249195,10973.880565148991,8982.281387931213,0.8899,0.83344,0.89596,1.27061
15635.853391469633,7454.285228182112,9215.0834537884,7454.285228182113,16555.08293165505,9580.658206542059,9215.083453788404,9580.658206542059,25517.293338742915,10888.885565289322,10579.160566426943,8654.527525344954,0.8687,0.82186,0.92994,1.24819
15119.187230913174,7094.943728768326,8922.528949743031,7094.943728768323,15932.355805520849,9250.838999731834,8922.528949743033,9250.838999731828,25415.695360003218,10754.38894360645,10403.115851855395,8349.456872301933,0.8672,0.81913,0.90006,1.28081
16716.154304826705,8075.945088690117,9933.209949323138,8075.945088690116,17450.584990001134,10232.094203117318,9933.20994932314,10232.09420311731,26646.586158138314,11268.797352479996,10997.906147091868,9028.19001646466,0.8895,0.84679,0.88947,1.26374
14885.127617169006,6875.563089339962,8706.218802776357,6875.563089339964,15410.862608536907,8917.472836555391,8706.21880277635,8917.472836555386,24815.345297962293,10479.119936431704,10301.77554317893,8274.121254567312,0.8567,0.80607,0.90282,1.29111
