S11,S12,S13,S21,S22,S23,S31,S32,S33,S44,S55,S66,BV/TV,m1,m2,m3
10298.504074259256,4108.096605142543,4269.648912409102,4108.096605142546,10333.955292525858,4276.61549611919,4269.648912409103,4276.615496119181,11231.625588509398,6423.204084262516,6428.695932147063,6211.732798232756,0.8855,0.84594,0.92264,1.23142
10390.625048561807,4284.546806156613,4346.126512769213,4284.546806156613,10999.893796168499,4516.298892216512,4346.126512769216,4516.298892216513,11433.24492170467,6674.105624412007,6447.867788320588,6361.562235123625,0.8986,0.84988,0.96144,1.18868
11615.367359127911,4827.169599190571,4896.766404712314,4827.169599190564,11735.973840066985,4926.196055490246,4896.766404712318,4926.196055490246,12118.700017863606,6979.62563771107,6940.235681889362,6842.267952531477,0.9248,0.87049,0.92321,1.2063
9760.548961327646,3925.1343944494533,4061.2391017375553,3925.1343944494515,10181.02421654461,4180.602757005943,4061.239101737556,4180.602757005947,11070.256763095062,6378.696867109005,6248.051223149231,6049.1497116144,0.8794,0.84358,0.90362,1.2528
11404.508593438088,4697.064392731141,4792.864806182326,4697.064392731141,11420.131534615199,4798.158004154118,4792.864806182331,4798.158004154115,11986.318767379491,6863.564253811853,6864.389883079547,6731.1516272097215,0.9182,0.88035,0.91949,1.20016
11401.497276284905,4721.60385010061,4797.56306460589,4721.60385010061,11564.699472378612,4846.263724354428,4797.563064605886,4846.26372435442,12024.247336834107,6919.6952218980205,6865.543362323234,6768.150347985664,0.9224,0.88588,0.93016,1.18396
10595.657562203769,4371.39388915927,4470.354891479357,4371.393889159269,11103.66215143957,4607.441376954067,4470.354891479358,4607.441376954072,11776.125195996554,6788.087155734097,6627.8706222736455,6518.32958160695,0.9155,0.81414,0.94127,1.24458
11064.298120801319,4606.685452841751,4698.048799434999,4606.685452841754,11495.411378123317,4812.127009788579,4698.048799434997,4812.127009788579,12104.693107806144,6939.612830660311,6801.367494517181,6656.958610027519,0.928,0.80187,0.92357,1.27455
11080.708241753458,4542.243051002271,4665.694559507297,4542.2430510022705,11289.454263833732,4714.622337297375,4665.694559507293,4714.622337297374,11955.995878456268,6852.0324469545,6777.683815655642,6605.997739058981,0.9239,0.82677,0.91152,1.26171
10975.586289859433,4496.875832846888,4618.7564622115015,4496.875832846889,11129.425332776338,4664.269821654024,4618.7564622115015,4664.269821654021,11911.703196765635,6809.41093209971,6762.808698751188,6586.174017251228,0.9231,0.85646,0.89343,1.25011
10796.412250558418,4413.196532227,4553.114350639227,4413.196532227004,11066.2656020835,4617.418764695735,4553.114350639227,4617.4187646957325,11855.105788983114,6780.879226195014,6691.203994741008,6499.236823623651,0.9171,0.80702,0.91898,1.274
10714.974847017882,4439.489028029565,4541.556668378128,4439.489028029569,11288.675519691687,4697.476474833796,4541.5566683781335,4697.476474833795,11961.209653412534,6879.762285596474,6688.668062416747,6561.1099192172605,0.9229,0.78628,0.97188,1.24184
